Desciption               From_Node       To_Node         Dijkstra's      Path
Min Chen's office
                            1               1                **
                            1               2                125         1 22 23 2
                            1               3                110         1 12 11 10 9 3
                            1               4                204         1 22 21 19 18 17 15 14 4
                            1               5                194         1 22 21 19 18 17 15 14 5
                            1               6                155         1 12 11 10 6
                            1               7                235         1 12 11 10 6 7
                            1               8                310         1 12 11 10 6 7 8
                            1               9                105         1 12 11 10 9
                            1               10               75          1 12 11 10
                            1               11               45          1 12 11
                            1               12               15          1 12
                            1               13               169         1 22 21 19 18 17 15 13
                            1               14               169         1 22 21 19 18 17 15 14
                            1               15               155         1 22 21 19 18 17 15
                            1               16               141         1 22 21 19 18 16
                            1               17               141         1 22 21 19 18 17
                            1               18               127         1 22 21 19 18
                            1               19               113         1 22 21 19
                            1               20               133         1 22 21 19 20
                            1               21               99          1 22 21
                            1               22               85          1 22
                            1               23               105         1 22 23

CSS office
                            2               1                125         2 23 22 1
                            2               2                **
                            2               3                199         2 23 21 19 18 17 15 13 3
                            2               4                139         2 23 21 19 18 17 15 14 4
                            2               5                129         2 23 21 19 18 17 15 14 5
                            2               6                256         2 23 21 19 18 16 10 6
                            2               7                336         2 23 21 19 18 16 10 6 7
                            2               8                411         2 23 21 19 18 16 10 6 7 8
                            2               9                206         2 23 21 19 18 16 10 9
                            2               10               176         2 23 21 19 18 16 10
                            2               11               148         2 23 21 19 11
                            2               12               178         2 23 21 19 11 12
                            2               13               104         2 23 21 19 18 17 15 13
                            2               14               104         2 23 21 19 18 17 15 14
                            2               15               90          2 23 21 19 18 17 15
                            2               16               76          2 23 21 19 18 16
                            2               17               76          2 23 21 19 18 17
                            2               18               62          2 23 21 19 18
                            2               19               48          2 23 21 19
                            2               20               68          2 23 21 19 20
                            2               21               34          2 23 21
                            2               22               40          2 23 22
                            2               23               20          2 23

UW1-051 classroom
                            3               1                264         3 13 15 17 18 19 21 22 1
                            3               2                199         3 13 15 17 18 19 21 23 2
                            3               3                **
                            3               4                150         3 13 14 4
                            3               5                120         3 13 5
                            3               6                95          3 9 6
                            3               7                175         3 9 6 7
                            3               8                250         3 9 6 7 8
                            3               9                5   3 9
                            3               10               35          3 9 10
                            3               11               251         3 13 15 17 18 19 11
                            3               12               281         3 13 15 17 18 19 11 12
                            3               13               95          3 13
                            3               14               115         3 13 14
                            3               15               109         3 13 15
                            3               16               123         3 13 15 16
                            3               17               123         3 13 15 17
                            3               18               137         3 13 15 17 18
                            3               19               151         3 13 15 17 18 19
                            3               20               151         3 13 15 17 18 20
                            3               21               165         3 13 15 17 18 19 21
                            3               22               179         3 13 15 17 18 19 21 22
                            3               23               179         3 13 15 17 18 19 21 23

CUSP Office
                            4               1                204         4 14 15 17 18 19 21 22 1
                            4               2                139         4 14 15 17 18 19 21 23 2
                            4               3                150         4 14 13 3
                            4               4                **
                            4               5                60          4 14 5
                            4               6                243         4 14 15 16 10 6
                            4               7                323         4 14 15 16 10 6 7
                            4               8                398         4 14 15 16 10 6 7 8
                            4               9                193         4 14 15 16 10 9
                            4               10               163         4 14 15 16 10
                            4               11               191         4 14 15 17 18 19 11
                            4               12               221         4 14 15 17 18 19 11 12
                            4               13               55          4 14 13
                            4               14               35          4 14
                            4               15               49          4 14 15
                            4               16               63          4 14 15 16
                            4               17               63          4 14 15 17
                            4               18               77          4 14 15 17 18
                            4               19               91          4 14 15 17 18 19
                            4               20               91          4 14 15 17 18 20
                            4               21               105         4 14 15 17 18 19 21
                            4               22               119         4 14 15 17 18 19 21 22
                            4               23               119         4 14 15 17 18 19 21 23

UW1 pool table
                            5               1                194         5 13 15 17 18 19 21 22 1
                            5               2                129         5 13 15 17 18 19 21 23 2
                            5               3                120         5 13 3
                            5               4                60          5 14 4
                            5               5                **
                            5               6                233         5 13 15 16 10 6
                            5               7                313         5 13 15 16 10 6 7
                            5               8                388         5 13 15 16 10 6 7 8
                            5               9                183         5 13 15 16 10 9
                            5               10               153         5 13 15 16 10
                            5               11               181         5 13 15 17 18 19 11
                            5               12               211         5 13 15 17 18 19 11 12
                            5               13               25          5 13
                            5               14               25          5 14
                            5               15               39          5 13 15
                            5               16               53          5 13 15 16
                            5               17               53          5 13 15 17
                            5               18               67          5 13 15 17 18
                            5               19               81          5 13 15 17 18 19
                            5               20               81          5 13 15 17 18 20
                            5               21               95          5 13 15 17 18 19 21
                            5               22               109         5 13 15 17 18 19 21 22
                            5               23               109         5 13 15 17 18 19 21 23

UW2 coffee
                            6               1                155         6 10 11 12 1
                            6               2                256         6 10 16 18 19 21 23 2
                            6               3                95          6 9 3
                            6               4                243         6 10 16 15 14 4
                            6               5                233         6 10 16 15 14 5
                            6               6                **
                            6               7                80          6 7
                            6               8                155         6 7 8
                            6               9                90          6 9
                            6               10               80          6 10
                            6               11               110         6 10 11
                            6               12               140         6 10 11 12
                            6               13               208         6 10 16 15 13
                            6               14               208         6 10 16 15 14
                            6               15               194         6 10 16 15
                            6               16               180         6 10 16
                            6               17               200         6 10 16 17
                            6               18               194         6 10 16 18
                            6               19               208         6 10 16 18 19
                            6               20               208         6 10 16 18 20
                            6               21               222         6 10 16 18 19 21
                            6               22               236         6 10 16 18 19 21 22
                            6               23               236         6 10 16 18 19 21 23

Library
                            7               1                235         7 6 10 11 12 1
                            7               2                336         7 6 10 16 18 19 21 23 2
                            7               3                175         7 6 9 3
                            7               4                323         7 6 10 16 15 14 4
                            7               5                313         7 6 10 16 15 14 5
                            7               6                80          7 6
                            7               7                **
                            7               8                75          7 8
                            7               9                170         7 6 9
                            7               10               160         7 6 10
                            7               11               190         7 6 10 11
                            7               12               220         7 6 10 11 12
                            7               13               288         7 6 10 16 15 13
                            7               14               288         7 6 10 16 15 14
                            7               15               274         7 6 10 16 15
                            7               16               260         7 6 10 16
                            7               17               280         7 6 10 16 17
                            7               18               274         7 6 10 16 18
                            7               19               288         7 6 10 16 18 19
                            7               20               288         7 6 10 16 18 20
                            7               21               302         7 6 10 16 18 19 21
                            7               22               316         7 6 10 16 18 19 21 22
